,CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol
0,27.944.378/0001-08,0.5389952946982376,-0.9107963829178313,-0.0988959149768821,0.7565505880184101,0.04854880989905039
1,28.947.266/0001-65,0.30109007701115104,-0.9122334313815994,-0.3655337749482296,0.31810174091837085,0.037966504072849135
2,18.422.272/0001-45,0.8258515425205891,-0.740936994663246,-0.030053489549809378,-0.09090756134209671,0.12411122549992921
3,21.470.989/0001-77,0.6789428127960999,-0.7615595379918351,-0.025041344398025706,-0.16017079310660434,0.1242918840955407
4,23.565.803/0001-99,0.7532806964292211,-0.7648126579865785,-0.03584394045789972,-0.7842305068983763,0.12380850007981982
5,31.963.220/0001-44,0.02389652337281274,-0.5205907371779515,-0.22167975654985986,-0.5887910932910055,0.03209794433642627
6,34.774.662/0001-30,0.17115158724427412,-0.6691898861530953,-0.019831384318596858,-0.37675502634231256,0.034546635582720434
7,24.119.462/0001-90,0.4072963555557822,-0.5655075350209756,0.08268739580045487,-0.7012177008570513,0.08877493973172577
8,24.018.977/0001-02,0.32556576234054957,-0.3006266974170456,0.062483491726937464,0.53994432617568,0.08979013560103634
9,24.119.419/0001-25,0.24946110555047826,-0.7851219199461337,-0.038382600770145485,0.45725585171923305,0.06578589401665176
10,24.078.037/0001-09,-0.6817500633862014,0.08316658796322182,0.0825895445862737,0.43072347873952327,0.06639792107953287
11,24.029.438/0001-60,-0.6841933258759881,0.28286139262462556,0.06942076777682761,-0.9657655744297726,0.06633033599037681
12,29.298.529/0001-15,-0.24319115399942196,0.9215591976025082,-0.1740055814536175,-0.22949958540565205,0.03463637388114015
13,23.979.285/0001-50,-0.10536352328967089,0.42829446713863284,-0.09321456372098903,-0.02550294336785397,0.05739317258678306
14,29.286.406/0001-64,0.03082410577086846,0.9237812698336124,-0.08192915857309002,-0.24523897045372173,0.03423881082189142
15,23.951.048/0001-80,-0.10549642960232117,0.49532897397892944,-0.04891438825572766,0.1693127818645974,0.05777973483319627
16,13.001.211/0001-90,-0.5440476847475839,-0.2907942041266418,0.06229092094296012,-0.7370784820362967,0.05954079059208826
17,31.525.084/0001-00,-0.1635807803907586,-0.9337912946676862,-0.13258649575012924,-0.5858451977096465,0.1589999034086797
18,33.784.197/0001-56,-0.4947005563546105,-0.8531413861676935,-0.14364855054875733,-0.9104522234232368,0.13915530337445145
19,13.608.337/0001-28,0.7772351824838364,-0.6206929355085542,-0.04802517949164619,-0.17350107920071287,0.14126728289546384
20,15.182.407/0001-54,0.7510849978199312,-0.7860811487732481,-0.1182051625691448,0.07275903793352433,0.1615667322318334
21,33.345.956/0001-84,-0.26569156744803135,-0.9146430371105524,0.026202327328280477,-0.377436323686456,0.10405453080757346
22,27.826.024/0001-50,0.2532882119643668,-0.09449908104953662,0.05884538578672307,-0.5384447019049119,0.14007111025650842
23,17.414.721/0001-40,0.4765894840824211,-0.7137140087576742,0.09692286791092604,-0.7861265117699985,0.10265408749219068
24,06.041.290/0001-06,-0.6721213820384306,0.14462532597448918,-0.06952041862561424,0.42221762489086173,0.08915429133564302
25,32.240.069/0001-89,-0.1961092737107047,-0.5915612668183228,-0.5639762410143656,-0.4761031330299363,0.03212966543495725
26,26.323.079/0001-85,0.6884777671294439,-0.8659910920301526,0.000981847864543331,-0.6300780396476495,0.11692766123671228
27,14.812.722/0001-55,0.4998130339968867,-0.7019452325823567,0.013313039029836935,-0.014811280655911961,0.08985502245379944
28,23.732.231/0001-95,0.7766090375651372,-0.7770940934348219,-0.006338251721471059,-0.7756846555764781,0.17101453752619852
29,11.802.604/0001-78,0.18038496033323748,0.8657096792402321,0.657300899372145,-0.4344272513309058,0.09531001949066634
30,33.617.774/0001-15,-0.30829795606215105,-0.9205656487515944,-0.18930642151232605,0.08025062423849523,0.03158250454460572
31,18.079.540/0001-78,0.13137899652506643,-0.5264754022715786,-0.07820856139991005,0.1343220870992738,0.1355538131090597
