,CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol
0,27.944.378/0001-08,0.7613476971601535,,-0.02605359968133465,0.6910910853726001,0.010249137427332045
1,28.947.266/0001-65,-0.09794867307337415,,-0.5332664247904317,0.8183806038224656,0.0037729490217717648
2,18.422.272/0001-45,0.14533257600914054,-0.6579882475568454,0.31421794307471773,-0.687322297954136,0.032445822457211865
3,21.470.989/0001-77,0.5650511946643503,-0.4401081066451566,0.30446936807123837,0.26187820745926405,0.032483360459942455
4,23.565.803/0001-99,0.21002549535861129,,0.08455191424880479,-0.8262133586225461,0.032340305753062015
5,31.963.220/0001-44,,,,,
6,34.774.662/0001-30,,,,,
7,24.119.462/0001-90,-0.10980285472253799,,-0.1380084317578357,-0.826591999586891,0.06335740301568621
8,24.018.977/0001-02,-0.472742029938599,,0.06533849328225767,-0.33393201210616413,0.06243531297119354
9,24.119.419/0001-25,0.5172172397464379,0.5119594861166014,0.14136071856040158,-0.26420433420975337,0.020301410101938845
10,24.078.037/0001-09,-0.3470091106016113,0.7183375377652575,0.30654261812157924,0.3870272669312737,0.01967703461694946
11,24.029.438/0001-60,-0.2502296946339318,0.8304858365503501,0.159101071881358,-0.5614820869769871,0.019993501616320603
12,29.298.529/0001-15,-0.2816741868560195,,-0.7890485526600104,-0.3378652918483317,0.014508639209425918
13,23.979.285/0001-50,-0.11294768913611812,-0.6767940338536762,-0.31606319552087714,0.6903379396417846,0.01483954196816685
14,29.286.406/0001-64,-0.2601700950127585,,-0.23462699085983593,-0.3141096992106352,0.014427581438620468
15,23.951.048/0001-80,-0.09626516799282474,-0.6754255372213532,-0.3033015303359219,-0.7825027887194449,0.01472018919471485
16,13.001.211/0001-90,0.0998136728819593,0.6697588067262158,-0.20691326864487947,-0.9500330820691868,0.05239335391089792
17,31.525.084/0001-00,0.3814424508684567,,-0.07112655850249364,0.6943730865542214,0.015897017275963387
18,33.784.197/0001-56,,,,,
19,13.608.337/0001-28,0.223688591286364,-0.8648162065586817,0.031637973471901844,-0.9754791300753726,0.038011978811163374
20,15.182.407/0001-54,-0.1739094721302896,,0.04710167503134276,-0.9099007305302468,0.0462706732638826
21,33.345.956/0001-84,,,,,
22,27.826.024/0001-50,0.4488851023026303,-0.8573807463350493,0.5933352895123426,-0.6487749327285942,0.052489246440248924
23,17.414.721/0001-40,0.004111121341175983,0.18012200553257346,0.003679069888769407,-0.29550409708335307,0.01993206422894754
24,06.041.290/0001-06,0.09885030837032938,0.6770595136456797,-0.19226568848949518,-0.9136002270367828,0.016355387676268377
25,32.240.069/0001-89,,,,,
26,26.323.079/0001-85,0.1260948497017277,-0.7565541358503614,0.37858472932064535,-0.6683151308552073,0.02500089687587305
27,14.812.722/0001-55,-0.20484576019831868,-0.7277765384778501,-0.08608286297607001,0.7250768641255204,0.029323328139878244
28,23.732.231/0001-95,0.497930132952673,-0.5176138752855404,0.4261715129797984,-0.5109566458236438,0.0420370653470113
29,11.802.604/0001-78,-0.010955780596606523,-0.9537476351189642,0.2076722605819919,0.5188391247734055,0.011430920526939857
30,33.617.774/0001-15,,,,,
31,18.079.540/0001-78,0.07350219377766079,-0.7345125991272428,-0.046968043616104654,0.49895559302745973,0.03639075332414258
32,01.214.092/0001-75,-0.06846913609063542,-0.7214581268236268,-0.3956428777135164,-0.9116517156019136,0.01752555965769719
33,31.964.487/0001-56,1.0,,-1.0,-1.0,0.036544262498859004
34,34.096.227/0001-02,,,,,
35,23.657.960/0001-24,0.20459960866246513,,0.12205062724087253,-0.050607450000070414,0.01448656047098448
36,15.212.344/0001-31,0.22215692049413008,0.6508683185609149,0.12132472467679521,-0.8350960822939516,0.017629545461611763
37,18.480.735/0001-25,-0.3707446162014445,0.38669280334339046,-0.019999990106415132,0.8427325167569168,0.017532864720377326
38,13.106.979/0001-29,-0.3082165767610771,-0.7298873714411005,-0.32090335485767674,-0.9865542157641448,0.01748149607701932
39,28.345.351/0001-53,-0.008850689790823948,,-0.19317472792197476,-0.16158564304859874,0.02223642733912655
40,28.866.524/0001-89,-0.08794999132397677,,-0.011050790425529138,-0.8517344666707078,0.02207903953653741
41,29.232.917/0001-01,0.30604621689909123,,-0.6686107578386625,-0.6331095156661525,0.015029858935612244
42,29.852.634/0001-54,-0.22233714842063665,,-0.39629582055432705,-0.9320101633109664,0.018337360796788944
43,27.944.406/0001-89,,,,,
44,05.109.839/0001-86,-0.3793011419292282,-0.6885230583077475,-0.18337367171672578,0.04328250195221687,0.0261223559272355
45,29.298.540/0001-85,0.20706079886145057,,0.013377656726613823,0.7583109160663531,0.010825144404603606
46,28.971.643/0001-00,,,,,
47,31.525.221/0001-07,,,,,
48,28.971.607/0001-38,0.05633309827882402,,-0.5303276983158283,-0.2582577916367086,0.0329496006310561
49,04.806.420/0001-10,0.006651850288592793,,-0.09520003675521517,0.10495044737747372,0.023330504615348954
50,03.074.954/0001-37,-0.07917059512303319,,0.06321841727700632,0.12187364214371049,0.020098077984586713
51,03.536.908/0001-02,-0.14804491825761837,,0.13613870474732825,0.28738221550055093,0.023360452764187013
52,01.221.890/0001-24,-0.04503041951980171,0.7009922493601367,0.013117590998305702,0.760721526184226,0.019019369101895032
53,33.346.346/0001-03,,,,,
54,34.309.551/0001-53,,,,,
55,29.242.437/0001-13,0.6918343795417364,,-0.4344892492046008,-0.6526566917613548,0.03783285793219398
56,30.317.454/0001-51,0.6692001021936818,,0.08649882315594953,-0.5650823862889923,0.045939395443926626
57,26.491.375/0001-95,-0.4295528169962746,,-0.5053761625183837,0.520235233469701,0.018407868400493313
58,27.945.311/0001-80,0.014573650082522644,,-0.44556360829226993,-0.3915124952583611,0.020061259190741216
59,19.628.666/0001-17,0.1363628900025933,-0.7376146663187398,0.1707945887210528,0.5927174224587288,0.03970440757684192
60,17.412.472/0001-54,-0.1938680089786013,,0.14997935791831163,-0.3904153946201674,0.08533517286556123
61,34.660.333/0001-69,,,,,
62,03.737.200/0001-10,-0.13989441701041264,-0.5931562162861728,-0.08941593537718419,0.4546649655871491,0.00779016930570125
63,18.961.501/0001-08,-0.350044019681994,0.9531160645787796,-0.09327972536400894,0.18003648739620304,0.010427608997021472
64,14.655.180/0001-54,0.22677537974053824,,0.011977043065437593,-0.7973382346794354,0.025667046784284317
65,01.823.373/0001-25,0.42966901234136246,0.762752433523851,0.29149719356666715,-0.8266505091742009,0.027676710627779873
66,03.804.917/0001-37,0.48774612312909466,-0.4932571843815086,0.08851908980799697,-0.9837557829707703,0.02576421496062009
67,26.179.685/0001-79,-0.08730583580565494,,0.04217462847723187,-0.8884203268526005,0.010401828257699522
68,19.212.817/0001-51,-0.03943085379555498,0.5146343015216385,-0.014982515677389268,-0.7959250108707197,0.01024925056643617
69,24.592.505/0001-50,0.11835674108406258,0.16883770286824104,-0.13008565115965537,0.8312852894161379,0.042218178486990124
70,20.725.810/0001-12,0.20252138408665576,,-0.06712203011291837,-0.802735799268148,0.04047126849672158
71,32.745.426/0001-60,,,,,
72,29.826.089/0001-21,0.822973843108866,,-0.1892775106770282,-0.8946378080671982,0.007844494005248987
73,11.052.478/0001-81,0.5077313258906468,0.8573807463350495,0.7450961089811206,-0.881639183500624,0.055110345054413035
74,26.525.548/0001-49,0.2073952999807334,-0.6655377919792757,0.08437215938796651,-0.8508828855098841,0.05540838825462007
