,CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol
0,00.756.851/0001-69,0.7025298176953487,-0.966783886967694,-0.1873225891784752,0.96500027654711,0.021976878654791053
1,00.822.933/0001-64,-0.7560351443620817,,-0.008371518975357312,-0.9785486230372705,0.02690525668019125
2,00.824.198/0001-28,-0.749929269302496,0.9094083604599686,-0.026099603948413548,-0.791871488687255,0.024753145505347497
3,00.826.386/0001-95,-0.38983733534288045,,0.06251064329141504,-0.010400076295521152,0.022291217489025072
4,00.826.907/0001-04,-0.7838173909885874,0.9315071618509194,0.05201282918520234,-0.9874978220351392,0.02450326799796978
5,00.826.911/0001-72,-0.7742921624569152,0.507086726012146,0.06542639687546983,-0.6686157504084167,0.019070580216644567
6,00.829.282/0001-34,0.7814996358066773,0.809377495694835,-0.09691924785844579,0.3182377713796633,0.02214214648847643
7,00.829.288/0001-01,0.6416895500569408,-0.9087090596183621,-0.035383005714313284,0.015053595410150694,0.027064979033209632
8,00.829.292/0001-70,0.7776368357755579,-0.5248233917650371,0.028181855768304735,-0.5614127506269377,0.026392358074861903
9,00.832.414/0001-87,-0.7733797526351976,0.9892072857153121,-0.07425885605754358,0.20585744862317948,0.022246383953909273
10,00.832.445/0001-38,-0.7564639919821169,0.9103082102502951,0.018131873780362816,0.3747804753624936,0.019421596047990007
11,00.834.072/0001-34,-0.6536988616240378,0.9742369514799298,0.03618408853011643,-0.5525209893334574,0.0233470861234603
12,01.129.004/0001-37,0.714124051872475,-0.9475396417067351,-0.10826787473792161,0.9828895680391947,0.027189821356624802
13,01.433.414/0001-77,-0.768719747884045,0.9282471394412511,-0.03757735869659455,0.43411006116498063,0.023623606982019128
14,01.616.137/0001-38,,,,,0.026593811062636107
15,01.624.178/0001-76,-0.5361267290255929,,0.060584445959707606,-0.9545202560117212,0.027321202957000842
16,01.972.291/0001-42,-0.8213126945023971,,0.16573488866743583,0.10360355494446115,0.023443931338127656
17,01.972.663/0001-30,-0.771611299106282,,0.03192525250444181,0.8629338680312314,0.02568138629569404
18,01.996.007/0001-78,0.690761972340786,-0.9816737407672155,-0.46889443235358463,0.9609529101573994,0.025277763033144322
19,02.294.026/0001-15,,,,,0.02737600887193684
20,02.567.996/0001-47,-0.7888166821915371,0.608276678063897,0.0382139827797206,-0.844121621320934,0.026771631157808746
21,02.887.948/0001-36,0.7297722499170071,-0.90775109253556,-0.25317059657258906,-0.8573099923112224,0.02507001141283514
22,02.939.538/0001-91,-0.7679363551406229,0.992026338198882,-0.05044688012306103,0.8123512321329502,0.01654807052962513
23,03.182.559/0001-78,-0.7820100169206401,-0.8873135338689743,0.12753669060468759,-0.8272808482353218,0.02061912490651639
24,03.336.760/0001-62,0.2128076331777368,-0.7062181565345322,-0.07461064945865448,-0.21946191718679192,0.026951054035608213
25,03.336.931/0001-53,-0.6650234243767916,,-0.04053552131363088,-0.9722972457493871,0.025016633689144457
26,03.504.010/0001-52,0.5323556611476142,0.6442620133015792,-0.11561237734127128,0.6029515048486277,0.026129106324100045
27,03.652.358/0001-97,-0.7694024263758578,0.9673938967641607,0.10423238384031204,-0.8461016341556628,0.02412421528158399
28,03.721.554/0001-76,-0.8214892271989025,,-0.056852742718489745,-0.9159486779655432,0.026459784127316775
29,03.737.211/0001-08,0.7312428787720204,-0.9759497570914666,-0.19518982665393086,-0.738291944670261,0.026078231359149776
30,04.061.224/0001-64,0.7270763300706621,-0.9740824849938583,-0.2747540641571269,0.9550581441261216,0.026703721259478536
31,04.061.548/0001-00,-0.7606281682123711,0.9890226386660775,-0.24796312261793454,0.7145238706624266,0.02585520538638615
32,04.128.562/0001-76,0.6721052638672099,-0.9059928067295726,-0.08224487793356114,0.8682940190405383,0.027185430371422493
33,04.220.338/0001-00,0.7585734530586692,-0.9463147377276594,0.00404231876673255,-0.7437372051798508,0.02483281868313966
34,04.237.569/0001-26,0.21178056102598128,-0.46971515603113767,-0.013026646612468358,0.09147619081783537,0.017534441813067885
35,04.237.583/0001-20,0.7535465340636203,-0.9773424203299779,-0.2715136959796344,-0.9874639841761874,0.024569473515066834
36,04.288.944/0001-67,-0.7355248728196775,0.9198064021352059,-0.012538839116574323,-0.6237359806012668,0.026306295443900167
37,04.528.776/0001-30,-0.5503500374744333,0.9397124600599251,0.0752475683215195,-0.7718685424855906,0.025242305661520182
38,04.831.907/0001-53,-0.811847014652089,-0.4547667010017998,0.005415776058797109,-0.11821435496824204,0.027274441583070366
39,05.073.650/0001-80,-0.7869390125111906,0.9697272377837884,0.10398685167448071,-0.6970995512265621,0.026261625557202982
40,05.080.623/0001-35,0.7589626460022043,-0.9888984130546355,-0.03186361117205512,0.9560431408294334,0.020232728520194126
41,05.222.448/0001-73,,,,,0.027606444540192895
42,05.222.538/0001-64,0.7355825130233805,-0.9731241314624453,-0.3700331067160325,-0.9524968188925237,0.026852079394694292
43,05.575.465/0001-94,0.7231660972186749,-0.4557923918635461,-0.08770176075791962,-0.9486298407181042,0.025775490813393018
44,05.629.940/0001-68,,,,,0.0271464572824923
45,05.902.521/0001-58,0.6669544028490364,-0.6632908206216503,0.009993750392930238,-0.5333338281000587,0.027190301281536506
46,05.903.160/0001-64,-0.7397296971044395,0.9137470574208811,-0.07737659837768897,0.5866767145577052,0.023845726892597063
47,05.943.661/0001-74,0.6519443742281286,-0.9410550971667193,-0.24565409692561288,0.986091491660257,0.024848077616752257
48,05.983.569/0001-38,0.04624723204863319,-0.9353606491113,-0.06580621291347533,0.6128412860652149,0.024561837448036365
49,05.983.641/0001-27,0.7499848356008456,-0.9757933245156786,-0.2910121695314179,-0.986054176699673,0.02313949941112925
50,06.877.848/0001-80,-0.48277787852646975,,-0.05496405542531806,-0.2553641641478108,0.025001688048626226
51,06.878.655/0001-43,-0.647883488625951,,-0.016602479896608756,-0.7335742182538064,0.019476268948085355
52,07.104.788/0001-25,0.7068507898219512,-0.9854596293736072,-0.4190310734827872,-0.8410561031576196,0.022597782103495143
53,07.187.570/0001-81,-0.1578835655559986,,0.035712270149076325,-0.06429787979234675,0.025055628499582684
54,07.287.126/0001-38,-0.657108552616207,-0.816426812018663,0.033823791134364185,-0.6031480514237704,0.027172081804755464
55,08.009.286/0001-88,-0.7820972694294466,,0.14472461003561032,-0.8521921857158741,0.024531079390024763
56,08.215.807/0001-53,,,,,0.026909972887086426
57,08.244.542/0001-11,0.8391987093375928,-0.13387771746172686,-0.04203752621294976,0.7116315296996207,0.025413608496195866
58,08.627.607/0001-08,-0.44150597020062443,0.48747406676616045,0.0888145863620818,0.4594715621172846,0.02576307940279692
59,08.669.394/0001-87,0.8117488914297315,-0.9289010205200071,0.023130074648832797,-0.8716478191459022,0.027106527139896842
60,08.927.292/0001-14,-0.7778963381102388,0.9706586498628061,0.0569639061538507,-0.7666030140601067,0.023699132886290206
61,08.927.310/0001-68,-0.7653289698883123,0.9744421488255314,-0.0896205877205312,-0.9821797285136583,0.024253297943032968
62,09.093.967/0001-30,0.3952922050881704,,-0.03307291896729684,0.2459463134556771,0.02732886376798783
63,09.145.225/0001-00,-0.9202158860024788,-0.5727701748567531,0.165183257090868,0.689960426409771,0.024003430839271724
64,09.564.069/0001-12,-0.6610696723943679,0.9288448895478068,0.08149509030254817,0.08760127915798356,0.027129458057990753
65,10.304.401/0001-99,0.6202684932893934,-0.9711145983586076,-0.292921563177645,0.9720015736346144,0.026134938500232834
66,10.388.050/0001-41,0.7852633376623035,-0.3132340650590722,0.01481671239911146,-0.9538464170027645,0.02679401329962219
67,10.388.059/0001-52,-0.9039612694568759,-0.8916310410092836,0.2556250266679354,0.9928468366891429,0.023053967331764565
68,10.397.571/0001-65,-0.73233516081359,0.9936690533719881,-0.15082327688217795,-0.9964715763708453,0.021999823556259315
69,10.397.614/0001-02,-0.7532155245445058,0.9943635005805266,-0.009411096758025529,-0.9789943300072728,0.0231276043940628
70,10.397.617/0001-46,-0.7693902267484477,0.9873762353014004,0.22556408400602923,-0.9408891501717132,0.023714996814368915
71,10.474.514/0001-32,0.8518975947744076,-0.9815968335749478,0.1356735265370674,-0.9911131975456421,0.026482892597785277
72,10.474.847/0001-61,-0.9109203506117359,-0.7384136096769536,0.1459661607103403,-0.9415167220954751,0.024337234654138958
73,10.551.370/0001-70,0.8038130671231627,0.8138389813708417,0.06467534045481954,0.7841108821186612,0.023946594013160814
74,10.646.885/0001-54,0.7797777602666427,-0.9808940170922038,0.043116422717247326,-0.9539767934541865,0.026927367665738795
75,10.731.794/0001-17,0.6025628634426332,-0.9660070774439541,0.0040409707576213715,-0.7017774458584967,0.026603812478650964
76,10.740.508/0001-80,0.6139453577550036,-0.9434441218443212,-0.2308572929992697,0.9604568167614824,0.025787479802167144
77,11.859.397/0001-98,-0.5235463437627161,,-0.028282749860047727,-0.6962653433894626,0.02742146660898046
78,12.518.210/0001-55,0.40993146532072144,0.9654183429686914,0.0067098350245216225,0.6514237289111438,0.027090453947476348
79,12.923.387/0001-37,0.44638712987346646,-0.9784456769242401,-0.0025550180791404846,0.5274162415950497,0.02709843565019984
80,13.077.418/0001-49,-0.32634198051758345,0.768477641648846,-0.03510449861847699,0.6201051843342819,0.027486607194303986
81,13.945.255/0001-79,0.45956167644956475,,-0.05876745749499089,-0.40047999339872353,0.027688095007487236
82,15.714.477/0001-06,,,,,0.02865700279691353
83,16.916.063/0001-22,0.7936071453344911,0.5522792938728861,-0.005436283362090664,0.5861624451205841,0.026485268161021033
84,17.254.044/0001-40,0.7684056747316187,,-0.0014656858232377076,0.4864280740042733,0.027941970527490635
85,17.420.249/0001-59,0.47932798360735984,,-0.02561008594884282,-0.4644861829571539,0.02759016499650086
86,17.502.869/0001-37,0.5857291982499978,0.5003214080631981,0.044306706859592926,0.32197285645408436,0.023383997420724077
87,18.138.913/0001-34,0.6175904134549001,,0.1173726796130335,-0.8204524739909007,0.027185883294019365
88,18.138.944/0001-95,-0.7794340810002692,0.9570993250989802,0.016056181996028634,-0.6579719040666467,0.024790541746531457
89,19.303.792/0001-00,0.0069023080338782425,0.6184258066443864,-0.0557255767165531,0.6838962680335544,0.02572005061183298
90,19.656.748/0001-75,-0.3874585721190305,,0.0973666072580097,-0.9535716805553226,0.025976226976632502
91,19.769.018/0001-80,0.8335025454097093,-0.8996735589873947,0.10728433914450144,0.5275798305423505,0.027347344714275808
92,20.194.059/0001-75,-0.7274277388656822,0.9876952456545112,-0.17498421956522314,-0.9992358265719119,0.022284931973544586
93,22.809.048/0001-88,0.7080638493406513,-0.9839217915940766,-0.0889129372183668,-0.9254011944435717,0.027117567473656932
94,23.120.582/0001-45,0.6713105788388661,-0.9798444461217197,-0.47719094411480933,0.9202617697371952,0.02393379454871825
95,23.611.289/0001-80,,,,,0.02729671088792704
96,23.731.558/0001-42,0.43218147820742747,,0.004772214585175675,-0.5607923915965233,0.027215143180447144
97,24.552.905/0001-32,0.4863752544367356,-0.6802687334202029,-0.0007211686287256538,0.5543636058989936,0.027242202709694668
98,26.199.425/0001-65,0.8095835881571557,-0.9154123080616514,0.0727847624014585,-0.663541515905514,0.027397061983594144
99,26.199.519/0001-34,0.7581114283103013,-0.9871375000349077,-0.04132308944351264,0.8719796115402897,0.02723160942803749
